study_area,n_pharmacies,n_pharmacy_cells,n_residents,residents_per_pharmacy,n_cells_multi,avg_pharm_in_multi,max_pharm_in_cell,cell_n_empty,cell_min_nz,cell_min,cell_p10,cell_p25,cell_p50,cell_p75,cell_p90,cell_max,cell_avg,pharm_n_empty,pharm_min_nz,pharm_min,pharm_p10,pharm_p25,pharm_p50,pharm_p75,pharm_p90,pharm_max,pharm_avg
Austria,1467,1131,8931593,6088.3,182,2.8,8,2,25,0,3298.0,4971,6976,9677,13119.0,33771,7897.1,3,25,0,2421.7,3883.2,5666,7628,10202.8,25354,6088.3
Belgium,4860,2963,11531275,2372.7,870,3.2,18,5,18,0,1649.2,2295,3310,4691,6549.2,29568,3891.8,11,18,0,960.9,1471.3,2136.6,3029.8,4053.1,10019,2372.7
Czechia,2668,1627,10491072,3932.2,546,2.9,14,3,4,0,2138.6,3688,5728,8446,11722.6,27465,6448.1,5,2.5,0,1173.3,2024.0,3462.8,5162.4,7222.3,18348,3932.2
Denmark,536,466,5754667,10736.3,54,2.3,4,0,2,2,5900.0,8353.2,11181.5,15280.5,20512.5,40606,12349.1,0,2,2,4892.3,7363.2,10013.5,13242,17800.5,35188,10736.3
Estonia,491,292,1318036,2684.4,111,2.8,6,0,19,19,1241.7,2372.5,3711,5421.2,8262.1,20604,4513.8,0,9.5,9.5,833.5,1516.5,2314.3,3449.8,4777.7,20604,2684.4
France,20698,13863,65306616,3155.2,3376,3.0,25,448,3,0,1578.2,2638,3991,5863,8411.8,51246,4710.9,660,3,0,1182,1924.2,2869,4091,5495,17502,3155.2
Ireland,1652,865,4997217,3024.9,345,3.3,14,3,107,0,2259.2,3401,5104,7221,10276.2,28024,5777.1,8,53.5,0,856.9,1461.0,2420,3989.5,5817.2,17055,3024.9
Italy,12991,8794,58720037,4520.1,2022,3.1,22,42,1,0,1297.6,2546.5,4918.5,8615.8,13683.7,112620,6677.3,58,1,0,1039.6,1859,3160,5410,9107.0,85669,4520.0
Latvia,818,496,1892123,2313.1,164,3.0,13,0,30,30,990.5,1551,2904,5146.2,8093.0,16587,3814.8,0,30,30,694,1153.8,1931.6,3049.5,4344.2,16587,2313.1
Lithuania,1253,582,2806212,2239.6,271,3.5,15,0,25,25,1527.7,2621.5,4045,6579.2,9157.1,24536,4821.7,0,25,25,671.2,1046,1782.4,2865.8,4507.4,13754,2239.6
Luxembourg,105,86,634435,6042.2,11,2.7,5,0,600,600,3471.5,5231.5,6861,9507.5,11595.5,22601,7377.2,0,600,600,2954,3672,5609.5,7822,10139.4,14020,6042.2
Netherlands,1992,1617,17459056,8764.6,295,2.3,7,2,5,0,4394.0,6802,10167,13827,17873.6,34905,10797.2,4,5,0,2661,5059.8,7952,11913.2,15566.9,33497,8764.6
Norway,1057,758,5110060,4834.5,189,2.6,9,3,27,0,2292.0,3755.8,5757.5,8789.5,12626.0,26897,6736.6,5,27,0,1661,2755,4300,6236,8548.4,23011,4831.0
Poland,13791,7030,37067330,2687.8,2864,3.4,17,3,1,0,1871,2996.5,4571,6819,9711.6,26161,5272.7,3,0.5,0,878.3,1438.5,2280,3488.2,5017.0,19078,2687.8
Portugal,2801,1893,10308403,3680.3,483,2.9,11,11,30,0,1692.4,2740,4282,6720,9810.8,32667,5198.5,16,28,0,1261.5,1950,2941,4439,6496.7,19709,3513.3
Slovenia,355,306,2100749,5917.6,38,2.3,4,0,664,664,2927.5,4293.8,6105.5,8707.8,11474.5,22559,6865.2,0,664,664,2484.6,3570.5,5239,7646.5,10074.6,20620,5917.6
Sweden,1448,1088,10249068,7078.1,239,2.5,9,4,2,0,3079.7,5220,8541,12284.2,17267.5,37107,9419.6,5,0.7,0,2097.6,3839.7,6207.5,9628.2,12659.0,37107,7077.7
